,keywords,relevance,paper
155,reset,0.1108, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
171,learn,0.1107,A biology-informed similarity metric for simulated patches of human cell membrane
311,nccr,0.1106,Metric learning for kernel ridge regression: assessment of molecular similarity
1077,smai,0.1106,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
734,swampland distance conjecture,0.11,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1197,citation wu jx,0.1089,Problems and solutions regarding generalized functional safety in cyberspace
553,day,0.1088,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
812,traditional multiply,0.1085,superconducting nanowire-based architecture for neuromorphic computing
574,applied sciences,0.1082,Non-negative Matrix Factorization for Dimensionality Reduction
533,major problem,0.1078,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
634,simple activation,0.1078,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
715,may,0.1068,A duality connecting neural network and cosmological dynamics
1012,yon dohn chung,0.1068,Multi-Dimensional Data Compression and Query Processing in Array Databases
936,dimensions,0.1064,Management of tools in digital manufacturing - A case study
889,continuous search domain,0.1061,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
1154,student member,0.106,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
793,learn,0.1059,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
76,part,0.1055,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
752,state,0.1055,Convolutional neural networks with radio-frequency spintronic nano-devices
753,low off,0.1054,Convolutional neural networks with radio-frequency spintronic nano-devices
1491,state,0.105,Neuromorphic computing for attitude estimation onboard quadrotors
534,laboratoire lorrain de recherche,0.105,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
517,multiuser,0.1048,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
992,slow transient response,0.1048,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
1333,typical criteria,0.1045,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
1155,genoa,0.1044,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1051,korea government ministry,0.1043,Predictive Hybrid Autoscaling for Containerized Applications
290,physical causes,0.1041,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
435,rg,0.104,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
834,exact marginals,0.104,Deep learning via message passing algorithms based on belief propagation
1537,social meaning,0.1037,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
1213,link,0.1034,Physical layer security techniques for data transmission for future wireless networks
398,generic properties,0.1029,Subaging in underparametrized deep neural networks 
1255,luenberger,0.1027,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
554,associated factor,0.1019,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
535,improving technique,0.1016,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
655,original content,0.1016,Learning tree structures from leaves for particle decay reconstruction
1612,spatial mode,0.1012,Massively scalable wavelength diverse integrated photonic linear neuron
234,concept,0.1012,Detection of Cluster Anomalies With ML Techniques
33,paper,0.1011,Improving parametric neural networks for highenergy physics (and beyond)
253,injection,0.1011,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
952,kraljice marije,0.1005,How to apply the ERP model for Smart Mining?
555,mail,0.1004,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
716,author,0.1004,A duality connecting neural network and cosmological dynamics
34,central problem,0.1003,Improving parametric neural networks for highenergy physics (and beyond)
375,essential feature,0.1003,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
1538,corresponding author,0.0999,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
333,electronic engineering,0.0999,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
1052,replicas,0.0999,Predictive Hybrid Autoscaling for Containerized Applications
1013,colorized planet map,0.0998,Multi-Dimensional Data Compression and Query Processing in Array Databases
610,best solution,0.0997,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
352,problem,0.0997,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1236,nearby base stations,0.0991,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
112,magdm method,0.0991," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
334,jong myung rhee2,0.0989,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
312,friedrich eisenbrand3,0.0986,Metric learning for kernel ridge regression: assessment of molecular similarity
210,molecular,0.0984,Neural network training with highly incomplete medical datasets
835,entropic solutions,0.0982,Deep learning via message passing algorithms based on belief propagation
1492,croon,0.0982,Neuromorphic computing for attitude estimation onboard quadrotors
353,ullah khan,0.0981,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1654,creative commons,0.0978,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
594,better refinement,0.0975,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
518,creative commons attribution license,0.0975,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
193,creative commons attribution,0.0975,Carbon Footprint vs Energy Optimization in IoT Network Deployments
495,lesson,0.0971,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
1512,throughput,0.0971,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
1156,ﬁngerprint,0.097,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
852,byeungwoo jeon,0.0966,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
1014,scientiﬁc domain,0.0965,Multi-Dimensional Data Compression and Query Processing in Array Databases
274,d04 v1w8 ireland,0.0965,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
953,first class priority,0.0963,How to apply the ERP model for Smart Mining?
853,gu,0.0962,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
496,2faculty,0.096,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
254,data size,0.096,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
1214,mathematical problem,0.096,Physical layer security techniques for data transmission for future wireless networks
1093,moments,0.0959,Goal-oriented adaptive sampling under random field modelling of response probability distributions
556,ical conditions,0.0958,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
772,tsinghua university,0.0954,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
291,altman plot,0.0951,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
754,arnaud de riz,0.0951,Convolutional neural networks with radio-frequency spintronic nano-devices
1613,such linear transformations,0.0948,Massively scalable wavelength diverse integrated photonic linear neuron
1539,state,0.0946,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
354,moora approaches,0.0946,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
452,major global issue,0.0942,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
1173,abort,0.0942,Concretely efficient secure multi-party computation protocols: survey and more
937,attribution license,0.0941,Management of tools in digital manufacturing - A case study
1292,convincing arguments,0.0938,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
1174,several challenges,0.0937,Concretely efficient secure multi-party computation protocols: survey and more
